                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.69431,                 1.1785,                  1.065,                  1.051,                0.24498,                0.23502,                0.20069,                0.11135,                0.19017,                 0.1687,                0.17209,                0.08326,                 1.5449,                 4.4192,                 3.0062,                 1.8135,             0.00068852,             0.00068852,             0.00068852
                     51,                0.65696,                 1.0741,                 1.0436,                 1.0517,                0.28041,                0.18437,                0.17145,                0.09871,                0.18919,                0.15923,                0.13927,                0.06413,                 1.5214,                 4.5687,                 2.9714,                 1.7874,             0.00068402,             0.00068402,             0.00068402
                     52,                0.68841,                  1.091,                 1.0896,                   1.03,                0.28807,                0.31283,                0.21255,                0.11938,                0.23211,                 0.2784,                 0.1818,                0.10083,                 1.4654,                 4.1285,                   2.87,                 1.7442,             0.00067952,             0.00067952,             0.00067952
                     53,                0.68237,                 1.1254,                  1.045,                 1.0552,                0.30937,                0.37575,                0.25588,                0.14063,                0.27085,                0.33725,                0.22144,                0.11754,                 1.4735,                 4.0357,                 2.7734,                 1.7362,             0.00067502,             0.00067502,             0.00067502
                     54,                0.70515,                 1.1928,                 1.0939,                 1.0517,                0.27945,                0.34932,                0.25951,                0.14651,                0.25741,                0.32629,                0.23556,                0.12936,                 1.5335,                 3.9025,                 2.7094,                 1.7574,             0.00067052,             0.00067052,             0.00067052
                     55,                0.65872,                0.97762,                 1.0139,                 1.0329,                0.53386,                0.28172,                 0.2608,                0.16464,                0.49067,                0.25212,                0.23225,                0.14083,                 1.5329,                  3.884,                 2.6919,                 1.7401,             0.00066602,             0.00066602,             0.00066602
                     56,                0.63905,                 1.1275,                  1.032,                 1.0383,                 0.3966,                0.26265,                0.27252,                 0.1678,                0.33841,                0.25856,                0.23469,                0.14859,                 1.5219,                 4.0017,                 2.6968,                 1.7411,             0.00066152,             0.00066152,             0.00066152
                     57,                 0.6339,                 1.0836,                 1.0449,                 1.0256,                0.33975,                 0.2616,                0.24965,                0.15798,                0.30806,                0.24303,                0.22109,                0.13754,                 1.5031,                 3.9832,                 2.7503,                 1.7297,             0.00065703,             0.00065703,             0.00065703
                     58,                0.60422,                 1.0681,                0.98632,                 1.0104,                0.33021,                0.23137,                0.22202,                0.14484,                 0.3079,                0.22038,                0.21064,                0.12952,                 1.5154,                 4.1513,                 2.8775,                 1.7402,             0.00065253,             0.00065253,             0.00065253
                     59,                0.67294,                 1.0961,                 1.0195,                 1.0249,                 0.3055,                0.27057,                0.22476,                0.13594,                0.31653,                 0.2638,                0.21631,                0.12214,                 1.5313,                  4.587,                 2.9995,                 1.7452,             0.00064803,             0.00064803,             0.00064803
                     60,                0.67524,                 1.0158,                 0.9862,                 1.0368,                 0.3381,                0.17148,                0.22274,                0.13239,                 0.3381,                0.17148,                0.20998,                0.11425,                 1.4625,                 4.6749,                 2.9593,                 1.7263,             0.00064353,             0.00064353,             0.00064353
                     61,                0.66649,                 0.9682,                 1.0013,                 1.0288,                 0.2087,                0.23044,                0.21576,                0.12961,                0.20128,                 0.2225,                0.20279,                0.10386,                 1.4686,                 4.5133,                 2.9932,                 1.7119,             0.00063903,             0.00063903,             0.00063903
                     62,                0.63432,                 1.0085,                0.98636,                 1.0377,                0.22748,                0.23559,                0.19652,                0.11519,                0.21832,                0.24131,                0.19055,                0.08647,                 1.4951,                 4.5359,                 2.9791,                 1.7104,             0.00063453,             0.00063453,             0.00063453
                     63,                0.70154,                 1.2318,                0.99655,                 1.0339,                0.27094,                0.29447,                0.21775,                0.14203,                0.22236,                0.27177,                0.19481,                0.09907,                 1.5058,                 4.7118,                 2.9816,                 1.7452,             0.00063003,             0.00063003,             0.00063003
